,Subtype
GTEX_heartLV_000,0
GTEX_heartLV_001,2
GTEX_heartLV_002,2
GTEX_heartLV_003,1
GTEX_heartLV_004,2
GTEX_heartLV_005,1
GTEX_heartLV_006,2
GTEX_heartLV_007,0
GTEX_heartLV_008,2
GTEX_heartLV_009,2
GTEX_heartLV_010,2
GTEX_heartLV_011,1
GTEX_heartLV_012,2
GTEX_heartLV_013,1
GTEX_heartLV_014,1
GTEX_heartLV_015,2
GTEX_heartLV_016,0
GTEX_heartLV_017,2
GTEX_heartLV_018,2
GTEX_heartLV_019,1
GTEX_heartLV_020,2
GTEX_heartLV_021,0
GTEX_heartLV_022,0
GTEX_heartLV_023,2
GTEX_heartLV_024,1
GTEX_heartLV_025,2
GTEX_heartLV_026,0
GTEX_heartLV_027,0
GTEX_heartLV_028,0
GTEX_heartLV_029,2
GTEX_heartLV_030,1
GTEX_heartLV_031,0
GTEX_heartLV_032,1
GTEX_heartLV_033,2
GTEX_heartLV_034,2
GTEX_heartLV_035,0
GTEX_heartLV_036,2
GTEX_heartLV_037,2
GTEX_heartLV_038,1
GTEX_heartLV_039,2
GTEX_heartLV_040,0
GTEX_heartLV_041,0
GTEX_heartLV_042,0
GTEX_heartLV_043,2
GTEX_heartLV_044,0
GTEX_heartLV_045,0
GTEX_heartLV_046,1
GTEX_heartLV_047,0
GTEX_heartLV_048,2
GTEX_heartLV_049,2
GTEX_heartLV_050,1
GTEX_heartLV_051,2
GTEX_heartLV_052,2
GTEX_heartLV_053,2
GTEX_heartLV_054,0
GTEX_heartLV_055,1
GTEX_heartLV_056,1
GTEX_heartLV_057,0
GTEX_heartLV_058,0
GTEX_heartLV_059,1
GTEX_heartLV_060,0
GTEX_heartLV_061,2
GTEX_heartLV_062,0
GTEX_heartLV_063,1
GTEX_heartLV_064,0
GTEX_heartLV_065,1
GTEX_heartLV_066,2
GTEX_heartLV_067,0
GTEX_heartLV_068,0
GTEX_heartLV_069,1
GTEX_heartLV_070,0
GTEX_heartLV_071,2
GTEX_heartLV_072,0
GTEX_heartLV_073,1
GTEX_heartLV_074,2
GTEX_heartLV_075,0
GTEX_heartLV_076,0
GTEX_heartLV_077,1
GTEX_heartLV_078,1
GTEX_heartLV_079,2
GTEX_heartLV_080,2
GTEX_heartLV_081,0
GTEX_heartLV_082,2
GTEX_heartLV_083,2
GTEX_heartLV_084,0
GTEX_heartLV_085,0
GTEX_heartLV_086,2
GTEX_heartLV_087,1
GTEX_heartLV_088,0
GTEX_heartLV_089,2
GTEX_heartLV_090,1
GTEX_heartLV_091,0
GTEX_heartLV_092,2
GTEX_heartLV_093,1
GTEX_heartLV_094,2
GTEX_heartLV_095,2
GTEX_heartLV_096,1
GTEX_heartLV_097,1
GTEX_heartLV_098,2
GTEX_heartLV_099,1
GTEX_heartLV_100,1
GTEX_heartLV_101,1
GTEX_heartLV_102,2
GTEX_heartLV_103,0
GTEX_heartLV_104,2
GTEX_heartLV_105,0
GTEX_heartLV_106,2
GTEX_heartLV_107,2
GTEX_heartLV_108,2
GTEX_heartLV_109,1
GTEX_heartLV_110,0
GTEX_heartLV_111,1
GTEX_heartLV_112,1
GTEX_heartLV_113,2
GTEX_heartLV_114,1
GTEX_heartLV_115,0
